latitude,longitude
51.48745,-0.18869
51.5343,0.08195
51.51463,-0.05797
51.48416,-0.10375
51.49494,-0.19286
51.53462,-0.14332
51.48615,-0.10677
51.36819,-0.12188
51.55397,-0.0334
51.51662,-0.17332
51.58189,-0.09898
51.5633,-0.00443
51.53023,-0.19886
51.51164,-0.20278
51.51876,-0.20705
51.47973,-0.22205
51.51732,-0.19024
51.53112,-0.12173
51.50226,-0.11054
51.52849,-0.07731
51.49253,-0.10928
51.59056,-0.09624
51.48747,-0.04066
51.48993,-0.19718
51.53895,-0.07748
51.49334,-0.10777
51.47188,-0.18469
51.54826,-0.08522
51.5208,-0.0995
51.49927,-0.21994
51.48721,-0.10611
51.49039,-0.19595
51.60477,-0.12547
51.56593,-0.07482
51.50453,-0.10742
51.52057,-0.10572
51.49595,-0.2293
51.52111,-0.20535
51.51022,-0.19395
51.54621,-0.20833
51.59914,-0.15154
51.60552,-0.14845
51.42864,-0.15701
51.54143,-0.05469
51.56138,-0.11088
51.53651,-0.23791
51.55306,-0.04562
51.63546,-0.11726
51.54216,-0.09764
51.5283,-0.08035
51.53306,-0.08383
51.63077,-0.13596
51.53179,-0.03413
51.55294,-0.13252
51.55393,-0.04758
51.55588,-0.13372
51.52963,-0.11939
51.51753,-0.19611
51.51894,-0.19695
51.49825,-0.2062
51.51627,-0.16685
51.49712,-0.20661
51.42925,-0.12584
51.5054,-0.2941
51.48178,-0.2112
51.45519,-0.10071
51.55518,-0.07673
51.52333,-0.31282
51.53039,-0.19745
51.54145,-0.0551
51.42096,-0.16911
51.53347,-0.18015
51.56248,-0.00646
51.52984,-0.08155
51.59322,-0.00424
51.54644,-0.10342
51.47063,-0.21104
51.53183,0.0492
51.51014,-0.13167
51.53417,-0.06552
51.50862,-0.12717
51.46938,-0.17134
51.51797,0.02317
51.44251,-0.01989
51.44368,-0.02195
51.44177,-0.02204
51.44336,-0.02298
51.44283,-0.0214
51.44365,-0.02287
51.44345,-0.0213
51.58177,-0.07674
51.52799,-0.12808
51.51827,-0.21717
51.50423,-0.10777
51.50558,-0.32817
51.47375,-0.20833
51.47176,0.05943
51.49731,0.01275
51.44267,-0.33194
51.53085,-0.3997
51.50177,-0.21433
51.52084,-0.20609
51.54046,-0.09883
51.5382,-0.18906
51.44697,-0.09525
51.45414,0.01046
51.47297,-0.18298
51.4228,-0.17757
51.43958,-0.05342
51.61598,-0.02244
51.51816,-0.16574
51.48767,-0.01189
51.42168,-0.17803
51.49281,-0.30921
51.51553,-0.19017
51.49643,-0.08635
51.52864,-0.18484
51.50996,0.00012
51.51097,-0.13103
51.49929,-0.08871
51.51428,-0.26447
51.52371,-0.11496
51.559,-0.07363
51.51311,-0.12894
51.58588,-0.25342
51.50707,-0.24764
51.54648,-0.0719
51.46865,-0.0433
51.51594,-0.19817
51.53517,-0.09286
51.58202,-0.3768
51.5115,-0.18749
51.53606,-0.23576
51.50507,-0.08375
51.52132,0.02306
51.52116,0.02515
51.54064,-0.02317
51.53625,0.0048
51.47886,-0.20567
51.47902,-0.20582
51.4785,-0.20686
51.52171,-0.13808
51.54167,-0.14058
51.62137,-0.2978
51.43027,-0.12881
51.56233,-0.00282
51.59228,-0.25644
51.48794,-0.21467
51.59369,-0.25663
51.57505,0.00514
51.5206,-0.34408
51.41885,-0.16645
51.43021,-0.12722
51.55763,-0.30246
51.58548,-0.07469
51.55964,-0.40993
51.5835,-0.11739
51.58834,-0.01771
51.51659,-0.01766
51.50052,0.10449
51.55627,-0.00526
51.60155,-0.11032
51.44648,-0.06945
51.45559,-0.02008
51.51802,-0.16468
51.48043,0.03946
51.47689,0.03238
51.5244,-0.10233
51.54946,-0.15142
51.55539,-0.00191
51.41715,-0.2457
51.41761,-0.24613
51.54259,0.15386
51.4965,-0.10016
51.5155,-0.16477
51.52293,-0.46245
51.52115,-0.1397
51.55215,-0.03855
51.49484,-0.04317
51.56207,-0.10059
51.58751,-0.09781
51.56141,-0.0779
51.49494,-0.11211
51.52691,-0.13524
51.49883,0.10547
51.46721,-0.10136
51.41755,-0.15309
51.54321,0.00626
51.52773,-0.13097
51.52802,-0.08093
51.60048,-0.19105
51.51603,-0.06801
51.5329,-0.2331
51.60139,-0.08639
51.55701,-0.08336
51.44683,-0.01746
51.52661,0.03109
51.47776,-0.14939
51.44085,-0.13348
51.48366,-0.11658
51.54462,-0.14696
51.52118,-0.10843
51.66364,-0.05452
51.56028,-0.06609
51.61455,-0.02989
51.51233,-0.16783
51.49273,-0.19404
51.53918,-0.14702
51.49709,-0.2032
51.44338,0.08362
51.54983,-0.31739
51.46811,-0.17134
51.52713,-0.05994
51.57501,0.12202
51.5402,-0.09663
51.5506,-0.07698
51.55317,0.02328
51.45465,-0.19836
51.52935,0.0092
51.54368,-0.17332
51.54999,-0.18455
51.49918,-0.21279
51.56931,-0.02936
51.52029,-0.15755
51.48864,-0.11714
51.47634,-0.15068
51.48919,0.07161
51.52453,-0.08006
51.4612,-0.17298
51.47296,0.0694
51.50451,-0.29203
51.55206,-0.05641
51.46903,-0.12875
51.56394,-0.01025
51.48858,-0.26231
51.48406,-0.26182
51.54374,-0.13595
51.45573,-0.05166
51.55235,-0.12384
51.50144,-0.25678
51.57291,0.14562
51.45735,-0.01614
51.52249,-0.10525
51.52493,0.03679
51.53258,-0.01141
51.53131,-0.08034
51.55163,-0.0745
51.54829,0.1611
51.56285,-0.19551
51.4686,-0.04931
51.59635,-0.19098
51.5069,-0.22604
51.59922,-0.33356
51.49226,-0.06271
51.57034,-0.11096
51.40208,-0.0987
51.60164,-0.33589
51.53169,-0.3761
51.45644,-0.03757
51.48945,-0.27208
51.50893,0.01881
51.51697,-0.18231
51.64879,-0.11822
51.41868,-0.12462
51.41888,-0.12406
51.41757,-0.12453
51.54439,0.05872
51.50021,-0.06975
51.534,-0.23784
51.53338,-0.00996
51.53771,-0.08668
51.48311,-0.18428
51.55925,-0.14276
51.50062,0.03117
51.55025,-0.18445
51.44217,-0.1376
51.44553,-0.13773
51.54253,0.00712
51.54267,-0.14519
51.544,-0.14509
51.52756,-0.06337
51.61154,-0.01863
51.61654,-0.14936
51.52832,-0.10085
51.55975,-0.12085
51.56956,-0.10778
51.53638,-0.11896
51.5311,-0.03799
51.45511,-0.10869
51.55851,-0.12771
51.54482,-0.11008
51.55859,0.0132
51.4908,-0.18779
51.60054,-0.33774
51.57605,0.1133
51.49604,0.01312
51.46264,-0.01505
51.52077,0.02479
51.54071,-0.22338
51.53023,-0.21417
51.55324,-0.22808
51.53197,-0.08922
51.52907,-0.0409
51.50671,-0.0699
51.59737,-0.09714
51.51551,-0.2146
51.53238,-0.06578
51.50649,-0.05628
51.52795,-0.08272
51.46299,-0.22336
51.46316,-0.22124
51.53048,-0.03475
51.49907,-0.08119
51.50403,-0.14913
51.39428,0.11994
51.60081,-0.11489
51.54314,-0.08991
51.42741,0.008
51.42694,0.00703
51.37296,-0.11966
51.5491,-0.18469
51.48622,-0.11933
51.55586,-0.09366
51.58467,0.02784
51.56598,-0.08578
51.52023,-0.14048
51.47219,-0.18464
51.52754,-0.04986
51.48734,-0.21673
51.48403,0.08595
51.53962,-0.14268
51.44036,-0.13369
51.54758,-0.00201
51.54184,-0.05923
51.56711,-0.07623
51.40648,-0.12059
51.52919,-0.03785
51.42259,-0.16387
51.54093,-0.05371
51.49864,-0.11507
51.50195,-0.24959
51.40296,-0.25044
51.59895,-0.00705
51.49819,-0.13836
51.42675,-0.16785
51.42525,-0.16636
51.48364,-0.26736
51.5285,-0.04228
51.52801,-0.04198
51.55149,-0.0787
51.48249,-0.19929
51.54935,-0.05619
51.45954,-0.3234
51.54049,-0.09041
51.54929,-0.22403
51.48808,-0.19523
51.53571,-0.24497
51.44259,-0.12949
51.51545,-0.06834
51.51567,-0.06838
51.53951,-0.09822
51.45084,-0.12378
51.44773,-0.12252
51.52053,-0.21086
51.53606,-0.05657
51.53609,-0.05553
51.50364,-0.22161
51.54201,-0.13893
51.55698,-0.07609
51.50407,-0.28442
51.54162,-0.10824
51.54358,-0.05192
51.48593,-0.36729
51.53,-0.08895
51.49654,-0.06914
51.42833,-0.34646
51.56047,-0.06469
51.52801,-0.05823
51.5389,-0.11298
51.53891,-0.20002
51.50245,-0.23976
51.50273,-0.24019
51.48698,-0.36862
51.53397,-0.22773
51.46107,-0.21945
51.51707,-0.20067
51.43128,-0.33811
51.43908,0.01543
51.51048,-0.30576
51.48852,-0.11735
51.4584,-0.10664
51.51813,0.01694
51.60536,-0.14502
51.39762,-0.1979
51.56054,-0.07686
51.45615,0.00956
51.54293,-0.14073
51.54498,-0.14073
51.4879,-0.27038
51.59113,0.08057
51.51303,-0.03737
51.53883,-0.19502
51.50866,-0.01855
51.54444,-0.19455
51.58127,-0.31343
51.41652,-0.21832
51.59708,-0.1054
51.61367,-0.16519
51.51838,-0.14238
51.42869,-0.08399
51.52894,-0.21267
51.57034,-0.1461
51.44985,-0.00532
51.4203,-0.23533
51.54719,-0.06462
51.44158,-0.21591
51.42396,-0.16458
51.5207,-0.05151
51.60291,0.04403
51.63194,-0.04074
51.50174,-0.08908
51.50742,-0.22735
51.50728,-0.22704
51.47386,-0.16355
51.61401,-0.11701
51.55454,-0.07819
51.50773,0.0668
51.41138,-0.17918
51.53536,-0.07706
51.54131,0.00376
51.42433,-0.30966
51.41475,-0.23593
51.4246,-0.09572
51.46479,-0.32628
51.52796,-0.1944
51.60877,0.0404
51.53435,-0.14093
51.49252,-0.14219
51.49162,-0.1433
51.43263,-0.06485
51.49771,-0.03307
51.48821,0.00434
51.49226,-0.14042
51.45512,-0.03789
51.45334,-0.04021
51.47273,-0.20289
51.60259,-0.06181
51.41827,-0.13123
51.48005,0.02037
51.44448,-0.19993
51.51296,-0.17882
51.41291,-0.07569
51.52922,-0.10013
51.49954,0.08719
51.53135,-0.06946
51.53919,-0.09011
51.56075,0.04069
51.49189,-0.10909
51.59391,-0.22582
51.54594,-0.13718
51.48055,-0.01701
51.5217,-0.32281
51.54205,-0.05954
51.42273,-0.05679
51.55473,-0.12151
51.50844,0.05878
51.45255,-0.05013
51.48152,-0.18193
51.46068,-0.18589
51.5273,-0.11032
51.47573,-0.20683
51.54504,-0.05639
51.47844,-0.03972
51.48127,-0.20149
51.54841,0.04934
51.48629,0.09358
51.54813,0.01027
51.45468,-0.11875
51.54517,-0.03103
51.58084,-0.1042
51.49315,-0.01897
51.51778,-0.20991
51.50133,-0.10996
51.48533,-0.18314
51.54734,-0.12888
51.53001,-0.05372
51.40749,-0.00514
51.58274,-0.12719
51.53958,-0.07892
51.45728,-0.32257
51.59084,-0.02936
51.54675,-0.17204
51.55039,-0.17041
51.5793,-0.07794
51.48781,-0.20448
51.5275,-0.06445
51.54762,-0.08385
51.41869,-0.16277
51.40649,-0.22979
51.54815,-0.36331
51.42915,-0.08377
51.51388,-0.12177
51.45967,-0.11233
51.55465,-0.05765
51.4681,-0.13031
51.54554,-0.05919
51.60046,0.02989
51.37189,-0.10183
51.48553,0.09638
51.43451,-0.06481
51.42736,-0.1911
51.43981,-0.03748
51.55381,-0.03911
51.44647,-0.10424
51.48904,-0.01928
51.52876,-0.08465
51.56908,-0.11513
51.52644,-0.07945
51.526,-0.07928
51.52334,-0.05232
51.56054,-0.09344
51.58223,-0.12326
51.5377,-0.00068
51.63174,-0.18855
51.39368,-0.28963
51.55194,-0.12384
51.51695,-0.19649
51.55564,-0.17273
51.47833,-0.1032
51.47921,-0.10443
51.4792,-0.10353
51.53914,-0.19899
51.52,-0.10495
51.49828,-0.01929
51.54143,-0.14646
51.53772,-0.14038
51.57656,-0.10911
51.53806,-0.10077
51.52186,-0.21565
51.47645,-0.15239
51.46542,-0.00746
51.47393,0.05775
51.42389,-0.01298
51.4275,-0.15909
51.54204,-0.05643
51.56242,-0.08207
51.44057,-0.1346
51.4983,-0.2131
51.56022,-0.06323
51.43801,-0.00182
51.50172,0.08596
51.49073,-0.19486
51.56948,-0.07928
51.49637,-0.11115
51.50083,-0.10557
51.38483,-0.12667
51.48143,-0.12573
51.53922,0.07048
51.51559,-0.05684
51.55816,-0.05439
51.5583,-0.05301
51.51367,0.04656
51.48147,-0.14934
51.6142,-0.1182
51.61875,-0.21481
51.50164,-0.11293
51.47611,0.05917
51.52487,-0.08645
51.52399,-0.07717
51.46673,-0.09625
51.54838,-0.06582
51.54605,-0.07513
51.53076,-0.01223
51.57619,-0.06169
51.51915,-0.20747
51.58716,-0.00229
51.46921,-0.00767
51.47839,-0.10839
51.52554,-0.07376
51.48981,-0.20684
51.62366,-0.02033
51.56628,0.01762
51.57044,0.01545
51.48041,-0.24047
51.55012,-0.07125
51.41814,-0.07694
51.49636,-0.00778
51.53446,-0.0996
51.64593,-0.18769
51.53622,-0.06122
51.47814,-0.16645
51.56434,0.02424
51.53567,-0.0726
51.5218,-0.22172
51.60547,0.05412
51.58187,-0.07616
51.54651,0.00651
51.57552,0.08771
51.65405,-0.03301
51.51323,-0.13279
51.54895,-0.08916
51.54902,-0.08518
51.56819,-0.12974
51.4478,-0.03822
51.50706,-0.32647
51.47457,-0.01062
51.54066,0.03108
51.56493,-0.13403
51.51299,-0.19159
51.47973,-0.20749
51.51237,-0.13208
51.54963,-0.14793
51.4724,-0.0202
51.55008,-0.073
51.46767,-0.16042
51.54899,-0.00141
51.53975,-0.17057
51.52271,-0.20559
51.58324,-0.04124
51.51984,-0.02253
51.53761,-0.09928
51.54443,-0.04867
51.48734,-0.13916
51.62603,-0.16015
51.52522,-0.08438
51.60316,-0.11176
51.47342,-0.10384
51.5701,0.07929
51.41859,-0.23031
51.44407,-0.1057
51.53334,-0.06465
51.55716,-0.14576
51.61685,-0.14893
51.54514,-0.05699
51.55577,-0.09557
51.47122,-0.04774
51.56535,0.00819
51.54112,-0.1463
51.55432,-0.22721
51.47849,0.05995
51.5462,-0.05612
51.51748,-0.20363
51.42908,-0.09017
51.54582,-0.07416
51.50849,-0.23387
51.57863,0.17092
51.43485,-0.0216
51.49278,-0.00697
51.53028,-0.0517
51.6171,-0.14769
51.39991,-0.04043
51.61454,-0.16329
51.53368,-0.04379
51.56571,-0.09854
51.48675,-0.06394
51.48969,-0.09925
51.48109,-0.24142
51.52004,-0.06777
51.56741,-0.09945
51.46116,-0.02256
51.54777,-0.23534
51.48206,-0.19119
51.43752,-0.14833
51.53731,-0.04191
51.52928,-0.06611
51.58481,-0.00488
51.5777,0.11745
51.54829,-0.07618
51.50272,-0.03795
51.50627,-0.21933
51.53115,-0.06372
51.52482,-0.06636
51.54429,-0.08952
51.51476,-0.12823
51.47658,-0.11593
51.50869,0.08019
51.53924,-0.0871
51.55692,-0.12601
51.52834,-0.12389
51.54963,-0.18125
51.51897,-0.14686
51.5103,-0.30402
51.45525,-0.1639
51.50699,-0.23966
51.54326,-0.0711
51.55925,-0.17647
51.5237,-0.05623
51.62758,-0.16853
51.50366,-0.23652
51.49288,-0.10732
51.55088,0.0463
51.59902,-0.06306
51.42431,-0.20423
51.42284,-0.20052
51.4244,-0.20729
51.4234,-0.20739
51.58686,-0.14112
51.49385,-0.20645
51.3919,-0.11896
51.49301,0.07412
51.54316,-0.06483
51.50316,-0.27791
51.53598,-0.07044
51.52561,-0.36523
51.55407,-0.20921
51.53519,-0.02744
51.59665,0.02235
51.46467,-0.25565
51.46648,-0.15128
51.50467,-0.08296
51.48199,-0.01419
51.54331,-0.02746
51.54406,-0.19559
51.6206,-0.27673
51.45697,-0.1188
51.48985,-0.11129
51.53658,-0.06123
51.52944,-0.09808
51.513,0.12603
51.53217,-0.00685
51.58931,-0.25055
51.55021,-0.21073
51.54287,-0.02284
51.56269,-0.36683
51.60536,-0.19871
51.51694,-0.1856
51.50377,-0.0747
51.56447,-0.11859
51.56222,-0.11226
51.49601,-0.04392
51.56682,-0.0614
51.47386,-0.16397
51.5272,-0.07594
51.55358,-0.05539
51.53721,-0.07402
51.38372,0.05645
51.55436,0.03041
51.39968,-0.04121
51.55964,-0.11407
51.42355,-0.21574
51.55013,-0.07393
51.49268,-0.20535
51.54563,0.04566
51.5308,-0.11117
51.55366,0.00908
51.61754,-0.02289
51.55559,-0.12503
51.55398,-0.0384
51.5538,-0.03853
51.52303,-0.36415
51.49162,-0.04589
51.49228,-0.10245
51.58194,0.02604
51.51549,-0.2063
51.53504,-0.0075
51.40564,-0.09244
51.539,-0.13923
51.44066,-0.18074
51.49783,-0.06874
51.59387,-0.02341
51.49933,-0.18971
51.48221,-0.2105
51.53568,-0.20415
51.51608,-0.06864
51.51435,-0.06717
51.47574,-0.04721
51.51403,-0.06653
51.52021,-0.30986
51.51543,-0.06827
51.62089,-0.26854
51.55652,-0.24626
51.51513,-0.11212
51.48233,-0.01073
51.47605,-0.1955
51.50664,-0.03979
51.55424,0.02951
51.46644,-0.09711
51.50248,0.02545
51.50417,0.02649
51.55852,-0.04968
51.40458,-0.09256
51.51578,-0.09496
51.46286,-0.0342
51.54824,-0.15166
51.51569,-0.03622
51.57651,-0.07556
51.5042,-0.21699
51.53845,-0.00487
51.54698,-0.06182
51.50229,-0.07391
51.53258,-0.2135
51.58583,0.06578
51.53834,-0.1147
51.41541,-0.14808
51.41848,-0.30356
51.51509,-0.0568
51.53468,-0.08017
51.52994,-0.08459
51.53147,-0.07424
51.54332,-0.20117
51.46449,-0.08576
51.49262,-0.13123
51.50981,0.11688
51.53103,-0.06152
51.4862,-0.10972
51.54956,-0.05867
51.43019,-0.05936
51.53098,-0.06109
51.59099,0.01284
51.48346,-0.12224
51.42891,-0.35742
51.57208,0.00488
51.50183,-0.10176
51.5277,-0.04368
51.55732,-0.14909
51.45812,-0.0776
51.52698,-0.19151
51.55488,-0.1612
51.53631,-0.20734
51.5768,-0.12525
51.46334,-0.1235
51.42996,-0.33833
51.54654,-0.16441
51.48515,-0.08335
51.49981,-0.07462
51.54714,-0.20069
51.50303,-0.23928
51.45899,-0.12032
51.47531,-0.10403
51.48928,0.09854
51.4945,-0.10442
51.53311,-0.08297
51.54561,-0.06058
51.53258,-0.08365
51.58115,-0.3583
51.51865,-0.21544
51.49009,-0.21025
51.44182,-0.13239
51.47334,-0.15546
51.37231,-0.11195
51.52773,-0.07364
51.52216,-0.21614
51.55447,-0.08829
51.44331,-0.17193
51.48719,-0.01154
51.3722,-0.11417
51.52306,-0.13705
51.59619,-0.01722
51.41663,-0.14055
51.56385,0.03662
51.5256,0.0283
51.52225,-0.07374
51.45034,-0.16067
51.52101,-0.10598
51.54941,-0.3018
51.54757,-0.10591
51.53761,-0.00079
51.56238,0.03692
51.44365,-0.10718
51.57249,-0.13319
51.40803,-0.21331
51.65767,-0.09264
51.39183,-0.31356
51.51039,-0.32348
51.48802,-0.10898
51.60564,-0.07391
51.55737,-0.37403
51.56475,-0.36343
51.54666,-0.12834
51.48923,-0.20681
51.59593,-0.02454
51.48106,-0.25897
51.54295,0.05931
51.56251,-0.10903
51.45581,-0.11341
51.44869,-0.07308
51.44922,-0.0729
51.5269,-0.11028
51.57527,0.03113
51.56167,-0.07924
51.55048,-0.04059
51.53576,-0.00255
51.52944,-0.02079
51.54867,-0.14025
51.58973,-0.08509
51.52288,-0.13958
51.5344,-0.11467
51.51334,-0.18678
51.51579,0.05104
51.53468,-0.20517
51.54162,-0.15908
51.54729,-0.07368
51.59868,-0.06321
51.548,-0.23357
51.43331,-0.12404
51.43872,0.00515
51.57774,-0.07622
51.46402,0.0586
51.54739,0.02045
51.5421,-0.19881
51.51649,-0.19588
51.52796,-0.07161
51.50057,-0.01111
51.46163,-0.01959
51.60682,-0.29211
51.44078,-0.12776
51.54631,-0.06639
51.52707,-0.3355
51.57255,-0.11499
51.54568,0.00546
51.53375,0.00468
51.50636,-0.14789
51.52729,-0.0816
51.44108,0.00774
51.47686,-0.06929
51.59092,-0.17535
51.55976,-0.1642
51.59022,-0.03572
51.59467,-0.016
51.51332,0.01174
51.64536,-0.20786
51.53108,-0.01284
51.57151,-0.2586
51.54513,-0.1469
51.60078,0.03549
51.48868,-0.06669
51.50565,-0.14592
51.54751,-0.11979
51.47196,-0.1775
51.5763,-0.11261
51.54714,-0.04175
51.55659,-0.19488
51.49869,-0.28321
51.43018,-0.35735
51.53024,-0.01136
51.45348,-0.05432
51.59003,-0.1232
51.54744,-0.1649
51.52019,-0.04864
51.52918,-0.12267
51.55762,-0.12615
51.44249,-0.34639
51.48395,0.02711
51.50658,-0.24802
51.52312,-0.01305
51.51777,-0.28271
51.53032,-0.21705
51.48264,-0.22273
51.5086,-0.06515
51.48645,-0.20447
51.53949,-0.20081
51.53945,-0.20087
51.52457,-0.06621
51.52207,-0.15998
51.49501,-0.13894
51.53118,-0.24963
51.48039,-0.10559
51.56094,-0.08394
51.5626,-0.05722
51.5007,-0.09173
51.55734,-0.04576
51.58778,-0.37367
51.48517,-0.12088
51.45695,-0.10927
51.52373,-0.16381
51.45349,-0.10876
51.54803,-0.25318
51.46904,-0.2639
51.52282,-0.11778
51.58459,-0.19218
51.49391,-0.18583
51.44321,-0.1715
51.44261,-0.10685
51.55237,-0.08856
51.49461,-0.20514
51.46743,-0.12559
51.49529,-0.22878
51.58446,-0.10605
51.57219,0.00285
51.508,-0.19934
51.49308,-0.19
51.512,-0.13472
51.50268,-0.10305
51.50705,-0.22933
51.41617,-0.17562
51.41477,-0.17691
51.39094,-0.21851
51.45284,-0.09722
51.55312,-0.09048
51.54588,-0.13577
51.59409,-0.02198
51.54349,-0.10468
51.53764,-0.08473
51.52184,0.0211
51.50082,-0.09501
51.46786,-0.08132
51.53697,-0.004
51.5009,-0.03273
51.44605,-0.12151
51.6577,-0.09263
51.54826,-0.02861
51.52933,-0.08131
51.54928,-0.07584
51.59994,-0.13742
51.54247,-0.02175
51.6086,0.24083
51.46807,-0.07371
51.52236,-0.05207
51.50196,-0.1071
51.53738,-0.00335
51.53688,-0.0041
51.46159,-0.12293
51.56167,-0.10672
51.49033,-0.20672
51.54506,-0.14334
51.47325,-0.02275
51.53955,0.05151
51.4713,-0.21097
51.51858,-0.07419
51.51454,-0.20194
51.57708,0.02168
51.53356,-0.07436
51.51616,-0.20569
51.45446,-0.14002
51.44147,-0.17441
51.57039,-0.11701
51.46696,-0.00305
51.53811,-0.14592
51.52177,-0.10959
51.45269,-0.14011
51.48842,-0.11298
51.58944,-0.23958
51.5606,-0.09814
51.42822,-0.05925
51.56005,-0.09939
51.54785,-0.00536
51.44875,-0.16056
51.5333,-0.00675
51.51975,-0.07389
51.56723,0.01892
51.46604,-0.11934
51.53178,-0.05817
51.64787,-0.04278
51.49256,-0.27631
51.52773,-0.11336
51.52599,-0.19495
51.48574,0.01469
51.53288,-0.11584
51.49919,-0.08298
51.49779,-0.21334
51.48245,-0.1479
51.45439,-0.12967
51.53801,-0.00059
51.54697,-0.09152
51.49589,-0.0996
51.48567,-0.09484
51.50898,-0.23212
51.50153,0.03033
51.53867,-0.05856
51.47007,0.03844
51.47796,-0.39364
51.44102,-0.10707
51.55244,-0.12252
51.5288,-0.06342
51.53602,-0.07864
51.54918,-0.1653
51.53006,-0.04295
51.45888,-0.16357
51.44919,-0.0566
