name,id,phone,reservations,price_range,review,rating,y_phone_key,g_phone_key,y_id_no,y_name,y_rating,y_review,y_price_range,y_reservations,y_category,g_place_id,g_name,g_rating,lat,lng,g_price_range,composite_score
Soho Park,16777795,2122192129,0,3,90,3.9,12122192129,%2B12122192129,EGS6y6WsPkNs8PZ2X6bHOA,Soho Park,3,660,$$,0,Burgers,ChIJ3V4wFo9ZwokR4RNh7U_tTBA,Soho Park,4.4,40.7236273,-73.9967844,2,3.704918033
Dominique Ansel Bakery,16787297,2122192773,0,2,322,4.8,12122192773,%2B12122192773,ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,4,4233,$$,0,Bakeries,ChIJP0KOWoxZwokRmvPiQAIaH1A,Dominique Ansel Bakery,4.3,40.725161,-74.0029621,2,4.295081967
Bâtard,16792424,2122192777,0,4,20,4.2,12122192777,%2B12122192777,0Q3xCYWK2N-wJfXjLa9dFg,Bâtard,4,358,$$$$,0,Modern European,ChIJc1uHuopZwokReG0qC_lrCd8,Bâtard,4.5,40.7195598,-74.0057489,3,4.163934426
Estela,16789681,2122197693,0,4,36,4,12122197693,%2B12122197693,GCAQmtRdNhqVit5KGJ46Qg,Estela,4,477,$$$,0,American (New),ChIJf3f-f4VZwokRcBCEciTOGRQ,Estela,4.5,40.7246413,-73.994739,3,4.098360656
Mooncake Foods,16772850,2122198888,0,2,141,4.2,12122198888,%2B12122198888,1MqGlFP3b7H77fzUkJMKgw,Mooncake Foods,4,504,$$,0,Vietnamese,ChIJLQGngoxZwokR_AaMDmB5ktg,Mooncake Foods,4.1,40.7236173,-74.0041872,2,4.032786885
Little Park,16793585,2122204110,0,4,18,4,12122204110,%2B12122204110,np7wKWwTAhetwpXqsWpFkQ,Little Park,4,349,$$$,0,American (New),ChIJUZ62Jh9awokRtnvnQpPF3rY,Little Park,4.3,40.7152366,-74.0091553,3,4.032786885
Kellari Taverna,16769574,2122210144,0,3,87,4.1,12122210144,%2B12122210144,mQX9JxLMlhVxaUMP9ADUHw,Kellari Taverna,3.5,584,$$$,0,Greek,ChIJDcyu2_9YwokRN2jyzlJQBWc,Kellari Taverna,4.3,40.7554271,-73.9810529,3,3.901639344
Seasoned Vegan,16787121,2122220092,0,3,14,3.7,12122220092,%2B12122220092,IJg3TdXz8IzKTfcspmr8MQ,Seasoned Vegan,4,1055,$$,0,Vegan,ChIJ75sJpRD2wokRGEATt_gZuz0,Seasoned Vegan,4.4,40.800663,-73.95274,2,3.967213115
Café Amrita,16783011,2122220683,0,2,15,3.7,12122220683,%2B12122220683,cLAOudmDmfsOCc3h1frWAA,Saurin Parke Cafe,3.5,12,$$,0,Coffee & Tea,ChIJb3QN9hf2wokRl-A7nikpq-0,Cafe Amrita,4.3,40.8010044,-73.9587712,2,3.770491803
Harlem Bar-B-Q,16783781,2122221922,0,4,24,3.8,12122221922,%2B12122221922,vk3ilGNArYA1r5nroLyJCA,Harlem Bar-B-Q,3,226,$$,0,Barbeque,ChIJvR6EA232wokR6E4MpK7dcyo,Harlem Bar-B-Q,4,40.8116845,-73.950395,2,3.540983607
Il Caffe Latte,16783595,2122222241,0,2,20,3.8,12122222241,%2B12122222241,N9cTbhwpTIcex_Je9Vx7lQ,Il Caffe Latte,3.5,273,$$,0,Coffee & Tea,ChIJmQZU-BH2wokR77fs9FoxIrg,Il Cafe Latte 1,4.3,40.8043971,-73.9483663,2,3.803278689
Chocolat Restaurant & Bar,16786435,2122224545,0,4,32,3.5,12122224545,%2B12122224545,YRfDdBgWS4T80oJfKmVThA,Chocolat Restaurant & Bar,3,939,$$,0,American (New),ChIJkbNGdhT2wokRJ1wWesV8yK0,Chocolat Restaurant & Bar,3.9,40.8069256,-73.9539472,2,3.409836066
L'Encanto D'Lola,16784708,2122226969,0,4,15,3.5,12122226969,%2B12122226969,V7_IQ1ab69JilAlgrSnMXg,L Encanto D Lola,3.5,257,$$,0,Mexican,ChIJF9senRD2wokRLTyV0QZzZWU,el encanto de lola,4.2,40.800139,-73.9515179,0,3.672131148
Harlem Shake,16789568,2122228300,0,2,17,3.6,12122228300,%2B12122228300,opyY8Zk2RqiwLu9SzkQXJA,Harlem Shake,3.5,909,$$,0,Burgers,ChIJ_Wfccg32wokR_0Yoxz3R9a0,Harlem Shake,4.1,40.8071004,-73.9463499,2,3.672131148
Manhattan Valley,16768359,2122229222,0,3,74,4.1,12122229222,%2B12122229222,6Ylb1tsVosJ5zpctJpw2BA,Indus Valley,4,272,$$,0,Indian,ChIJ3R85DSb2wokR1XobETRMs5E,Manhattan Valley,4.2,40.796989,-73.969707,2,4.032786885
Il Mulino Prime,16792578,2122260020,0,4,4,3.1,12122260020,%2B12122260020,GSZvuUdsCPisoNbttCqEvw,Il Mulino Prime,3.5,137,$$$,0,Steakhouses,ChIJD9t97u9YwokRZaau3ogrAJg,Il Mulino New York - Uptown,4.3,40.7641441,-73.97027,3,3.573770492
Atera,16787154,2122261444,0,4,28,4.3,12122261444,%2B12122261444,rZIMlQ76I0mXL8uNii_wVg,Atera,4.5,242,$$$$,0,American (Traditional),ChIJ_Y7rMCBawokR0mnRmN5kL2o,atera,4.7,40.7169003,-74.0055631,4,4.426229508
Pellegrino's,16774931,2122263177,0,4,83,4.1,12122263177,%2B12122263177,a2B4dXy5oyDV15en51xftw,Pellegrino's Italian Restaurant,4,597,$$,0,Italian,ChIJI5JGM4hZwokRpseqY_9zL3A,La Nonna,4.1,40.7185437,-73.997583,2,4
American Cut Steakhouse Tribeca,16790431,2122264736,0,4,14,3.5,12122264736,%2B12122264736,d-DQwNxs77Pah2ys0q7w1Q,American Cut Steakhouse Tribeca,4,548,$$$$,0,Steakhouses,ChIJv-a4KB5awokR6TLKvHwGqQE,American Cut,4.4,40.7190959,-74.009992,4,3.901639344
Brandy Library,16761097,2122265545,0,4,35,3.9,12122265545,%2B12122265545,RW-v9cm9rQZS9cSihuXfvw,Brandy Library,4,570,$$$,restaurant_reservation,American (New),ChIJk7o2RPVZwokRYnzP1CplFKk,Brandy Library,4.5,40.7199174,-74.0073046,3,4.06557377
Ferrara Bakery & Cafe,16765896,2122266150,0,2,310,4.7,12122266150,%2B12122266150,lDW4DlTZYcSP9T1yQY5HKg,Ferrara Bakery & Cafe,3.5,1476,$$,0,Bakeries,ChIJTy8URohZwokRB9YYYDHYBKM,Ferrara Bakery & Cafe,4.4,40.7190764,-73.9970864,2,4.131147541
Dean & Deluca,16764105,2122266800,0,2,78,4.5,12122266800,%2B12122266800,yknjbHNG7b0qL_Gw-U2luw,Dean & DeLuca,4,640,$$$,0,Specialty Food,ChIJXdDE4Y5ZwokRr2CbQy9mJN4,Dean & DeLuca,4.3,40.7240469,-73.9976783,1,4.196721311
Saluggi's,16782019,2122267900,0,4,46,4,12122267900,%2B12122267900,kVrTff8uDMSBAaceBwQ7dg,Saluggi's,4,547,$$,0,Pizza,ChIJv50f9opZwokRliYfUH2K22o,Saluggi's,4.4,40.720102,-74.003582,2,4.06557377
Salaam Bombay,16776918,2122269400,0,4,56,3.9,12122269400,%2B12122269400,_RVeBqIldnrh757oxL-b7w,Salaam Bombay,3,148,$$,0,Indian,ChIJ88AFXx5awokRdSmqvLwlGUM,Salaam Bombay Indian Cuisine,3.6,40.717044,-74.010526,2,3.442622951
Fanelli's Cafe,16765819,2122269412,0,3,102,4.2,12122269412,%2B12122269412,IqgiEIUVzVrHuhNTy-mcJw,Soup Kiosk,4,61,$,0,Food Stands,ChIJ73jk7Y5ZwokR8XknCWHfDKg,Fanelli Cafe,4.4,40.7246254,-73.9987757,2,4.131147541
Hampton Chutney Co.,16767513,2122269996,0,3,90,4,12122269996,%2B12122269996,IRRhwACUiMaqkBVAZiCzeg,Hampton Chutney,4,86,$$,0,Indian,ChIJE6jxm4lZwokRQ_16Bb-jR_Q,Hampton Chutney Co.,4.1,40.720051,-73.999591,1,3.967213115
Peking Duck House,16774900,2122271810,0,3,149,4.3,12122271810,%2B12122271810,6LfskUyZzmcDSV6h5kOwGw,Peking Duck House,3.5,793,$$$,0,Chinese,ChIJOd2Y7yZawokRZrmsAw8Y_U4,Peking Duck House,4,40.7146153,-73.9985845,2,3.868852459
Pisillo Italian Panini,16793663,2122273104,0,2,13,3.8,12122273104,%2B12122273104,8qSOz7oTPUUCafsMOBBNEQ,Pisillo Italian Panini,4.5,551,$$,0,Italian,ChIJ1-vKbRhawokRuh_krlCFDsQ,Pisillo Italian Panini,4.7,40.710554,-74.007593,0,4.262295082
Ecco,16765020,2122277074,0,4,40,3.9,12122277074,%2B12122277074,gqFM-JsHftTRplYbPF64Kg,Ecco,4,134,$$$,0,Italian,ChIJF4ZXIx9awokRTrE1NqZ-kt4,Ecco,4.5,40.7151839,-74.008807,3,4.06557377
Little Italy Pizzeria,16770999,2122277077,0,2,24,3.7,12122277077,%2B12122277077,CCOzj3i0uv8xlzz-OC8giA,Little Italy Pizza,3.5,76,$,0,Pizza,ChIJDYX_wRhawokRJQ3THIhqAiw,Little Italy Pizza,4.3,40.713044,-74.008334,1,3.770491803
Ruchi,16784492,2122278454,0,3,55,3.9,12122278454,%2B12122278454,HGNqWrRYJNyhJSS8yia8HQ,Ruchi,3.5,342,$$,0,Indian,ChIJueUCrBBawokRAUW2INtmfI4,Ruchi,3.6,40.709529,-74.012702,2,3.606557377
Artichoke Basille's Pizza,16781900,2122282004,0,3,273,4.6,12122282004,%2B12122282004,vfYhEpp0x-DrNjC6GSJjPQ,Artichoke Basille's Pizza,4,3842,$,0,Pizza,ChIJEWDhF55ZwokRx4atQITM9VU,Artichoke Basille's Pizza,4.3,40.7321384,-73.983877,1,4.229508197
Yakitori Taisho,16781143,2122285086,0,3,131,4.5,12122285086,%2B12122285086,Ad3dUoLatOdNtB4LxfmmWg,Yakitori Taisho,3.5,1548,$$,0,Japanese,ChIJpRYzj5tZwokRU8bg5yU3g4k,Yakitori Taisho,4.2,40.7294118,-73.9892661,1,4
Tarallucci E Vino,16779277,2122285400,0,3,47,3.8,12122285400,%2B12122285400,mOoZZa6WIsgihc_TqyQcXw,Tarallucci E Vino -Union Square,3.5,357,$$,0,Italian,ChIJkZl4RqJZwokRh8_7vKnsdTI,Tarallucci e Vino,4.3,40.738201,-73.990605,2,3.803278689
Almond,16782669,2122287557,0,4,84,4.2,12122287557,%2B12122287557,6ujYWjs1FTksvuVxuzjUYA,Almond,3.5,1000,$$,pickup,American (New),ChIJu0rmWKFZwokRJUArNmE6uh4,Almond,4.3,40.740081,-73.9887509,2,3.93442623
Dirt Candy,16782596,2122287732,0,4,81,4.3,12122287732,%2B12122287732,j0Q-yyxS2WiL3foCJEV4eg,Dirt Candy,4,599,$$$,0,Vegetarian,ChIJBXlte51ZwokRXzXtdaBG9xM,Dirt Candy,4.6,40.7179086,-73.990717,3,4.229508197
Cha-An Teahouse,16762439,2122288030,0,3,65,4.1,12122288030,%2B12122288030,zTW8HJHdhmI-VuJwo7zsFw,Cha-An Bonbon,4.5,27,0,0,Tea Rooms,ChIJK_ojbpxZwokR6hv_SRNgG9Q,Cha-An Teahouse,4.3,40.7294074,-73.9881681,2,4.229508197
Flex Mussels,16785605,2122290222,0,4,50,3.9,12122290222,%2B12122290222,rHmeJVffuj96M7jbB-wWgw,Flex Mussels,4,866,$$$,pickup,Seafood,ChIJAcBSHJZZwokRazkXAYHg1hE,Flex Mussels,4.5,40.7374703,-73.9996523,2,4.06557377
Crispo,16763661,2122291818,0,4,135,4.3,12122291818,%2B12122291818,yFtOtTd7ncSjFF3QavQ5cA,Crispo,4,923,$$$,0,Italian,ChIJARuQFL5ZwokR75HsksB-jjU,Crispo,4.3,40.7392154,-74.0017436,2,4.131147541
Manzo Ristorante,16785717,2122292180,0,4,63,4.2,12122292180,%2B12122292180,JYE16G0z-wo1MTyYchhVCA,Manzo Ristorante,3.5,317,$$$,0,Italian,ChIJjyX2GqRZwokRpoGN9PdmAtQ,Manzo,4,40.742087,-73.989634,3,3.836065574
Sala One Nine,16776916,2122292300,0,4,73,3.8,12122292300,%2B12122292300,OUzTKc5YcCPOPG5e8Di67g,Sala One Nine,4,782,$$,0,Tapas Bars,ChIJN36CF6NZwokREFxvAi_L4tQ,Sala One Nine NYC,4.4,40.74003,-73.9930896,2,4
Pranzo - Eataly,16787897,2122292560,0,4,20,3.8,12122292560,%2B12122292560,coppNqT-WXmXIZpq0DoU8w,Caffe Vergnano,4,16,$,0,Coffee & Tea,ChIJR2crEaRZwokRSiGhAboyWMM,La Piazza at Eataly,4.5,40.7419931,-73.9899357,3,4.032786885
Tartine,16779285,2122292611,0,4,135,4.2,12122292611,%2B12122292611,0Q13lJ3OHXOuBVpN6jeTjw,Tartine,4,960,$$,0,French,ChIJlTKLqJVZwokRH2TS2qm12hg,Tartine,4.3,40.7362939,-74.0034482,2,4.098360656
Manhatta,18873309,2122305788,0,4,7,3.4,12122305788,%2B12122305788,ypqK8DWM8Bcs43YveSJnNw,Manhatta,4.5,301,$$$$,0,American (New),ChIJoTXWl8dbwokRpKA2BJFVsGA,Manhatta,4.7,40.7078538,-74.0089805,0,4.131147541
The Odeon,16774046,2122330507,0,4,196,4.4,12122330507,%2B12122330507,P2CTp4xyaNCe2AXSiLeOSQ,The Odeon,4,610,$$$,0,American (New),ChIJS-u0mB9awokRZ7H0sa9Oy-U,The Odeon,4.4,40.716979,-74.007834,3,4.196721311
El Vez and Burrito Bar,16791767,2122332500,0,4,28,4.2,12122332500,%2B12122332500,L5eqJRy8Yx_4El6rUxWmBw,El Vez Burrito Bar,4,116,$$,0,Mexican,ChIJUSnLnRtawokRvxs34iq8GpQ,El Vez and Burrito Bar,4.3,40.7148114,-74.0154223,2,4.098360656
Zutto Japanese American Pub,16781481,2122333287,0,4,29,4,12122333287,%2B12122333287,abNHO9-xlCsv31gghCUuxw,Zutto Japanese American Pub,4,858,$$,0,Sushi Bars,ChIJ7-SBzh9awokRKB5djQIBiC0,Zutto Japanese American Pub,4.2,40.7185042,-74.0091866,2,4
Edward's,16765061,2122336436,0,4,44,3.8,12122336436,%2B12122336436,Rq7B5m9nYiRRRHa8CvPDTg,Edward's,3.5,218,$$,0,American (New),ChIJ13pGoR9awokRs3n54AZdmGc,Edward's,4,40.7169855,-74.0083752,2,3.704918033
Joe's Shanghai,16769041,2122338888,0,2,576,4.7,12122338888,%2B12122338888,0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,4,5830,$$,0,Shanghainese,ChIJv5WLFfpYwokRs7PxozOFgBE,Joe's Shanghai,4.1,40.7627553,-73.9760807,2,4.196721311
Make My Cake,16771519,2122342344,0,1,31,3.7,12122342344,%2B12122342344,FFyUhKP8prti07EYYUBLMg,Make My Cake,3.5,165,$$,0,Bakeries,ChIJc7F6q3D2wokRxMCzX3FOX90,Make My Cake,3.9,40.8181467,-73.9420895,2,3.639344262
Anchor Winebar,17755265,2122343084,0,4,8,3.3,12122343084,%2B12122343084,TsO4cjFld0Plznpimtn8uw,Anchor Wine Bar,4,269,$$,0,Italian,ChIJG6J2nGP2wokR6oP7HEMU3Gw,Anchor Wine Bar,4.6,40.82526,-73.950946,2,3.901639344
Picante Mexican Restaurant,16782827,2122346479,0,3,18,3.8,12122346479,%2B12122346479,Y1dM7kSfq7PoB7NrDQFpdQ,Picante,3,291,$$,0,Mexican,ChIJjW35MWT2wokRSlryWfa3vYE,Picante,4,40.8227373,-73.9528331,2,3.540983607
Fat Cat Kitchen,18109532,2122351994,0,2,12,3.4,12122351994,%2B12122351994,kx33pm8e2G2mDhj6CQLe_Q,Fat Cat Kitchen,5,147,$,0,Sandwiches,ChIJK3sF_55ZwokR1r3tRbPVyoQ,Fat Cat Kitchen,4.8,40.7331146,-73.9860812,0,4.327868852
Ward III,16784036,2122409194,0,3,23,3.6,12122409194,%2B12122409194,X_2RR5F7Bq3jos28dQuvlg,Ward III,4,444,$$,0,Lounges,ChIJ96FeFx9awokRW9g6Pw8JLNU,Ward III,4.3,40.7157603,-74.0086834,3,3.901639344
Ristorante Rafele,16787973,2122421999,0,4,42,4.1,12122421999,%2B12122421999,PajKY49h4SpvSr-TW3lwCQ,Rafele Ristorante,4,448,$$$,0,Italian,ChIJQ6Ofw69ZwokRBL0GK_NyNvM,Rafele,4.5,40.7309582,-74.0040978,2,4.131147541
Rocky's Pizza,16785880,2122422345,0,2,3,3.2,12122422345,%2B12122422345,3mQZDrm-tvpk3FrfwMWeLg,Rocky's Pizza 14th St,3,143,$,0,Pizza,ChIJb2tuTL5ZwokRt7M6cvCF56I,Rocky's,3.9,40.7398274,-74.0032238,1,3.31147541
Berimbau,16783425,2122422606,0,3,40,3.9,12122422606,%2B12122422606,3CMqDrz2fR2uVa8WC9CwJA,Berimbau Do Brasil,4,410,$$,0,Brazilian,ChIJpZm095JZwokRGez02CCWhpE,Berimbau do Brasil,4.4,40.730086,-74.003652,2,4.032786885
Employees Only,16765495,2122423021,0,4,120,4.1,12122423021,%2B12122423021,SjG7CnTIuUBIo9T4BThkGQ,Employees Only,4,1413,$$$,0,American (New),ChIJLztrVJNZwokRTmcQJheGNR4,Employees Only,4.4,40.7334327,-74.0060814,3,4.098360656
Txikito,16782652,2122424730,0,4,93,4.2,12122424730,%2B12122424730,NIRIpvQRp4uF-wY_JfJF0A,Txikito,3.5,329,$$$,0,Basque,ChIJF-cx-blZwokRRqBd-nhInkU,Txikito,4.3,40.747369,-74.000365,3,3.93442623
Dominique Ansel Kitchen,17714745,2122425111,0,1,17,3.9,12122425111,%2B12122425111,TFJozJUT2gJ-i9ay1rulwA,U.P. - Unlimited Possibilities,4.5,35,$$$$,0,Bakeries,ChIJ0wOsOZRZwokRY1t9B6VG3e8,Dominique Ansel Kitchen,4.3,40.7348035,-74.0019,2,4.163934426
Pasticceria Rocco,16776464,2122426031,0,3,103,4.2,12122426031,%2B12122426031,JWLRT0dkdaC7AHtYapWbGw,Pasticceria Rocco,4,992,$$,0,Bakeries,ChIJ9Tr8spNZwokRK7Th-8nYiQs,Pasticceria Rocco,4.4,40.7308397,-74.0026425,1,4.131147541
Old Homestead Steakhouse,16774083,2122429040,0,4,203,4.3,12122429040,%2B12122429040,dqXZa8fcvHsFvtZVtwRNkA,Old Homestead Steak House,3.5,980,$$$$,0,Steakhouses,ChIJ7-2lDL9ZwokRvzpIH3Etebo,Old Homestead Steakhouse,4.2,40.7412405,-74.0048833,3,3.93442623
Corner Bistro,16763499,2122429502,0,2,436,4.6,12122429502,%2B12122429502,8XLhXJcJ2XbQ8dTBY9YyQg,Corner Bistro,3.5,1484,$,0,Burgers,ChIJ0_ZHCiRZwokRUydW_tjoTs4,Corner Bistro,4.2,40.7380481,-74.0037408,1,4.032786885
La Maison du Macaron,16783329,2122432757,0,3,129,4.4,12122432757,%2B12122432757,x2OI4M2QJOo3Ymf8YHBhdw,La Maison du Macaron,4,874,$$,0,Macarons,ChIJi9_7yKRZwokRgKXxmndXZpI,La Maison du Macaron,4.3,40.7432318,-73.9941495,2,4.163934426
Murray's Cheese,16781785,2122433289,0,2,113,4.5,12122433289,%2B12122433289,N8Y9fFwPprct8fBQEceG9g,Murray's Cheese Shop,4.5,650,$$,0,Cheese Shops,ChIJuXvxrZNZwokR3XPZK9SvN-U,Murray's Cheese,4.7,40.7310236,-74.0030971,2,4.491803279
Union Square Cafe,16780256,2122434020,0,4,494,4.6,12122434020,%2B12122434020,lXGCo-K7eftxRT_6E59-Iw,Union Square Cafe,4,1168,$$$,0,American (New),ChIJxTHke6JZwokRCLWVd99eDBw,Union Square Cafe,4.6,40.7377702,-73.9878767,3,4.327868852
Olio e Piú,16785397,2122436546,0,4,43,3.9,12122436546,%2B12122436546,16ZnHpuaaBt92XWeJHCC5A,Olio e Piú,4,1826,$$,0,Pizza,ChIJ_RUJvZZZwokRNUEv3K4nSik,Olio e Piú,4.5,40.7338794,-73.9999408,2,4.06557377
Dough,16792545,2122436844,0,2,40,4.3,12122436844,%2B12122436844,ZMQzXIiqdBIuicFySTWGKg,Dough,4,1434,$,pickup,Desserts,ChIJf-sPA6NZwokRmrGlDu6ZFwY,64 Wadsworth Terrace Nyc,4.3,40.7393367,-73.9924098,0,4.131147541
Caliente Cab Co.,16761977,2122438517,0,4,81,3.9,12122438517,%2B12122438517,POGfmcCkuLpkP_Vz98DuwQ,Caliente Cab,2.5,766,$$,0,Mexican,ChIJ39BEdZNZwokRwjlY27mF_V8,Caliente Cab Co.,4.1,40.7318202,-74.003548,2,3.442622951
Skylight Diner,16777702,2122440395,0,3,61,4.1,12122440395,%2B12122440395,Kg_T9N7UtUuGMr3oNub-Uw,Skylight Diner,3,492,$$,0,American (Traditional),ChIJBfwSR7JZwokRZl9embIrXE0,Skylight Diner,3.9,40.7533794,-73.9967919,2,3.606557377
Churrascaria Plataforma,16763089,2122450505,0,4,335,4.5,12122450505,%2B12122450505,VnjcxOUuZAeJMiDIU-7hUQ,Churrascaria Plataforma,4,1301,$$$$,0,Brazilian,ChIJP9idxlZYwokRLH-I1mNfzYQ,Churrascaria Plataforma,4.5,40.7620327,-73.9876634,3,4.262295082
Gazala's Place,16781845,2122450709,0,3,90,4.1,12122450709,%2B12122450709,G2bUXNwpD3uf2AdmD1b_Pg,Gazala Place,3.5,361,$$,0,Middle Eastern,ChIJyeL2OlFYwokR4nkZXYOWaGg,Gazala Place,4.2,40.762707,-73.989908,2,3.868852459
Yakitori Totto,16781144,2122454555,0,4,130,4.3,12122454555,%2B12122454555,YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,4,1260,$$$,0,Japanese,ChIJT0goAVhYwokRS4m1bEXIF0E,Yakitori Totto,4.3,40.765252,-73.9831607,3,4.131147541
Ted's Montana Grill,16779416,2122455220,0,4,52,3.9,12122455220,%2B12122455220,7l6qQXBs5qhGfhsCZ8bIrA,Ted's Montana Grill - New York,3.5,358,$$,0,Steakhouses,ChIJl6MelfhYwokRNhaP-oGEHSI,Ted's Montana Grill,4.3,40.7607189,-73.9808912,2,3.836065574
Estiatorio Milos,16765582,2122457400,0,4,157,4.3,12122457400,%2B12122457400,mhhTORjUdXj-UIDjyGmhBg,Estiatorio Milos,4,848,$$$$,0,Seafood,ChIJbRaexvlYwokRYc5RgUjlsIY,Estiatorio Milos,4.5,40.7637209,-73.9788277,4,4.196721311
Uncle Nick's,16780228,2122457992,0,3,80,4,12122457992,%2B12122457992,4AFSUhmdxn1N3WCOUtLO3A,Uncle Nick's Greek Cuisine,3.5,484,$$,0,Greek,ChIJKeuc0lBYwokR-CUV_32CLFE,Uncle Nick's Greek Cuisine,4.1,40.763835,-73.988912,2,3.803278689
Obao,16790384,2122458880,0,4,63,4.1,12122458880,%2B12122458880,NN3mOWF5e_pnR1ArqM2bHQ,OBAO,4,2256,$$,0,Vietnamese,ChIJQZko0FNYwokRjhh4z0ilUMw,OBAO,4.2,40.7606427,-73.9913343,2,4.032786885
Trattoria Dell'Arte,16779927,2122459800,0,4,183,4.4,12122459800,%2B12122459800,LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,4,945,$$$,0,Italian,ChIJNaoHnvdYwokRFxwsSD4urZg,Trattoria Dell'Arte New York,4.4,40.7654454,-73.9805358,3,4.196721311
Morning Star,16772878,2122461593,0,4,34,3.8,12122461593,%2B12122461593,uPR6tnRT8BXM-_WlbHzG4g,Morning Star,3,222,$$,0,Breakfast & Brunch,ChIJv0XU_VhYwokRYssgC4Z4q7E,Morning Star,4,40.7682107,-73.9858178,1,3.540983607
Chop Chop,16785326,2122467246,0,3,4,3.6,12122467246,%2B12122467246,MgdD2DikZWsSkBNu4Lzh6A,Chop Chop,3,41,$$,0,Kosher,ChIJRaJSShn0wokRY0TgYHYfpEY,Chop Chop,4.2,40.8501832,-73.9297252,2,3.540983607
Patsy's Italian Restaurant,16774802,2122473491,0,4,200,4.4,12122473491,%2B12122473491,goqTQ4tOD-asC_ZJBW9l7w,Patsy's Italian Restaurant,4,842,$$$,0,Italian,ChIJ22yt_PdYwokRFf4cnErij6k,Patsy's Italian Restaurant,4.3,40.7656391,-73.9827408,2,4.163934426
Lucky's Famous Burgers,16771255,2122476717,0,2,49,4.1,12122476717,%2B12122476717,H9Kfi-VOagc61rFWrYACbw,Lucky's Famous Burgers,3.5,359,$,0,Burgers,ChIJX7L2QFdYwokRKTZR8HFBWM8,Luckys Famous Burgers,4.3,40.7644654,-73.9876892,1,3.901639344
Casellula Wine & Cheese Cafe,16781615,2122478137,0,4,186,4.4,12122478137,%2B12122478137,JL_p-OHtSEYVfoeLQQgqDA,Casellula,4,893,$$,0,Wine Bars,ChIJw77nTldYwokRH7A0Z76sMtc,Casellula,4.6,40.7649913,-73.9882621,2,4.262295082
