name,id,phone,reservations,price_range,review,rating,y_phone_key,g_phone_key,y_id_no,y_name,y_rating,y_review,y_price_range,y_reservations,y_category,g_place_id,g_name,g_rating,lat,lng,g_price_range
Bua Siam,16808603,8187658395,0,1,15,3.8,18187658395,%2B18187658395,uXB0qxiNJ7fbfn6Ljv5SHA,Bua Siam,4,219,$,0,Thai,ChIJA_pk55KWwoAR96a4cCXydgk,Bua Siam,4.5,34.2006772,-118.4149642,1
C&O Cucina,16808828,3103017278,0,2,174,4.4,13103017278,%2B13103017278,sFOvmWXinNYMUkGqaO0ExQ,C & O Cucina,4,1703,$$,0,Italian,ChIJHS0bQI66woARTIkx43ITKK0,C&O Cucina,4.5,33.9893983,-118.4503113,2
C&O Trattoria,16808843,3108239491,0,2,210,4.3,13108239491,%2B13108239491,IzJKmVZUTxXdBQM99GfOmg,C&O Trattoria,4,3363,$$,0,Italian,ChIJ_U8wHaO6woARMxMEhh0EzaU,C&O Trattoria,4.5,33.979717,-118.466139,2
Brass Monkey,16832452,2133817047,0,1,11,3.4,12133817047,%2B12133817047,FIgqdyKBNWs0vIRblFTkqg,Cafe Brass Monkey,3.5,779,$$,0,Karaoke,ChIJzW2xj33HwoARTsQxe1w7UfQ,Cafe Brass Monkey,4.2,34.0611473,-118.2988457,2
Cafe Buna,16808906,3108232430,0,2,46,4.1,13108232430,%2B13108232430,Y9wMzacINQ1Rm44vKpC-4Q,Cafe Buna,4,942,$$,0,Coffee & Tea,ChIJxS6RQ466woARryN0C786MwI,Cafe Buna,4.3,33.9832143,-118.4596121,2
Cafe Gratitude,16835718,4242318000,0,2,39,4.1,14242318000,%2B14242318000,HoiZYXpXoIhDWVZOhvsCKw,Cafe Gratitude - Venice,4,1337,$$,0,Vegan,ChIJ-XNYc8W6woAR08pVuMkKKVk,Cafe Gratitude,4.6,33.9979821,-118.4737359,2
Cafe Gratitude,16834150,3235806383,0,2,87,4.4,13235806383,%2B13235806383,6GTaESIP0r1oFunFqqevsw,Cafe Gratitude - Larchmont,4,2046,$$,0,Vegan,ChIJjRPL7sm4woARFcIwlfejAGA,Cafe Gratitude,4.5,34.082833,-118.3241265,2
California Pita & Grill,16809205,8189991118,0,1,20,3.8,18189991118,%2B18189991118,,,,,,,,ChIJ9xLA6r2ewoARZQzPoJNkR98,California Pita & Grill,4.4,34.1687391,-118.6022414,1
California Pizza Kitchen at Topanga,16809225,8188848858,0,1,17,3.6,18188848858,%2B18188848858,Q5DS9wGzUSubQ7qkNKoaYQ,California Pizza Kitchen at Topanga,3,427,$$,0,Pizza,ChIJc6DU6yKcwoARdo-VzU6C0dg,California Pizza Kitchen at Topanga,4.2,34.1899525,-118.6032419,2
Canters,16809318,3236512030,0,2,258,4.7,13236512030,%2B13236512030,s-2RZEj5ZHO2ssFZMtI0fg,Kibitz Room,4,104,$,0,Music Venues,ChIJnzZnJTO5woARqr8QWAXrAt0,"Canter's Restaurant, Bakery, Deli and Bar",4.4,34.0787734,-118.3618048,2
Carlitos Gardel,16809478,3236550891,0,3,46,4.2,13236550891,%2B13236550891,h9PSJ18gQ4kos8A0XAGlng,Carlitos Gardel Argentine Steakhouse,4.5,952,$$$,0,Argentine,ChIJSfKeA8y-woARpP7lY4htzZk,Carlitos Gardel Restaurant,4.6,34.0839438,-118.3631913,3
Carnival,16809516,8187843469,0,2,43,4,18187843469,%2B18187843469,hBlbVeUF2anUA7nPFk28ew,Carnival Restaurant,4,815,$$,0,Middle Eastern,ChIJyd6W2S6WwoARfOUNHK91p3Y,Carnival Restaurant,4.6,34.149731,-118.4305532,2
Casa Vega,16809593,8187884868,0,3,109,4.2,18187884868,%2B18187884868,mdmZGHhykNcRAQjIOHnl0A,Casa Vega,3,1713,$$,0,Mexican,ChIJv-IVTyeWwoARsFmBgl_RdX8,Casa Vega,4,34.14685,-118.4227339,2
Casey's Irish Pub,16825398,2136292353,0,2,61,4.1,12136292353,%2B12136292353,gbuJA_HqN_dxgFUF5mnmjA,Casey's Irish Pub,3.5,795,$$,0,Pubs,ChIJxSmfW7THwoARifXQhuqNy5E,Casey's Irish Pub,4.4,34.0484808,-118.2557888,2
Casita Taco al Carbon,16809615,8185088118,0,1,19,3.7,18185088118,%2B18185088118,9Cn85uYpcu8jRv5wZeP6ww,Casita Taco Al Carbon,4,336,$,0,Mexican,ChIJ8VnjBfGVwoARwo6K3hApdtE,Casita Taco Al Carbon,4.4,34.1645792,-118.3775423,1
Cavaretta's Italian Groceries,16809638,8183406626,0,1,23,4,18183406626,%2B18183406626,YjtN9CzBSzcv12ZMa1IPeg,Cavaretta's Italian Deli,4.5,696,$$,0,Grocery,ChIJAfNsXj-cwoARtdChan_NtyA,Cavaretta's Italian Deli,4.8,34.2012785,-118.6075908,1
Chiba Japanese,16809836,8187659119,0,1,15,3.9,18187659119,%2B18187659119,Jw2O97cqF3xLSbK_TuDVqA,Chiba Restaurant,4.5,690,$$$,0,Sushi Bars,ChIJbUyejiaUwoARLoxNkBtoAuY,Chiba Japanese Restaurant,4.7,34.2070276,-118.3881179,2
Chiba Sushi,16832589,8187659119,0,1,16,3.8,18187659119,%2B18187659119,Jw2O97cqF3xLSbK_TuDVqA,Chiba Restaurant,4.5,690,$$$,0,Sushi Bars,ChIJbUyejiaUwoARLoxNkBtoAuY,Chiba Japanese Restaurant,4.7,34.2070276,-118.3881179,2
Chicago For Ribs,16809843,3106707427,0,1,25,3.7,13106707427,%2B13106707427,K0xPmua9WzjHRcWeRQzDCg,Chicago For Ribs,3.5,231,$$,0,Barbeque,ChIJhzLurZSwwoARH93I0nFEGr4,Chicago For Ribs,4.1,33.962169,-118.421651,2
Chin Chin,16809908,3108262525,0,2,23,3.8,13108262525,%2B13108262525,yVViVqKQ-Ok3g4ACcz90XQ,Chin Chin,3.5,25,0,0,Caterers,ChIJIRJIYl-7woARjobN_PT56Eo,Chin Chin Restaurant,3.9,34.052916,-118.4668507,2
Chinese Friends,16810093,2136261837,0,1,11,3.9,12136261837,%2B12136261837,EXZGlBE2S3glZR11G1EBeQ,Chinese Friends Restaurant,4,315,$$,0,Chinese,ChIJGUicMFnGwoAR_8OWTeYZeAI,Chinese Friends Restaurant,4.6,34.0664571,-118.2358912,2
Chipotle Mexican Grill,16810129,8187100466,0,1,32,4,18187100466,%2B18187100466,rSIUHfkdLRNRxxqF569GSg,Chipotle Mexican Grill,3,286,$,delivery,Mexican,ChIJ9c_0MpiewoAR5rri1_rj0AI,Chipotle Mexican Grill,4.1,34.1698212,-118.6052853,1
Chosun Galbee,16810179,3237343330,0,3,108,4.3,13237343330,%2B13237343330,xinlZt7g7kCgNDoapBvdoA,Chosun Galbee,4,1600,$$$,0,Korean,ChIJYYyO5Ye4woAR0qhSVgRmlvE,Chosun Galbee,4.2,34.0524295,-118.310468,3
Church and State Bistro,16826001,2134051434,0,3,175,4.6,12134051434,%2B12134051434,AZyLsJTbviqWYOOXnUKFqA,Church & State,3.5,1725,$$$,pickup,French,ChIJt6okziPGwoARcrpMPOeSFLI,Church & State LA,4.1,34.0355401,-118.2326121,3
Clementine Catering & Café,16810370,3105521080,0,1,74,4.3,13105521080,%2B13105521080,2FyPXlPXz1yEbQWy-qJDUw,Clementine,4,1000,$$,0,Bakeries,ChIJyU8E7Yu7woARols2fQJ28UE,Clementine Catering & Café,4.5,34.0602694,-118.4208965,2
Clifton's Republic,16810375,2136271673,0,3,53,4.2,12136271673,%2B12136271673,wycqB61GzRLIJ4M_WPvecw,Clifton's Cafeteria,3.5,382,$,0,American (Traditional),ChIJA6IDVLXHwoAR8gTOFqwApzg,Clifton's Republic,4.4,34.0454209,-118.2530005,2
Cole's French Dip,16819090,2136224090,0,1,124,4.2,12136224090,%2B12136224090,bboQgpFxDeQH5L5hHRDk1A,Cole's French Dip,3.5,2166,$$,0,Bars,ChIJgZ1snzXGwoARCQvieFp61fU,Cole's French Dip,4.5,34.0447897,-118.2494993,2
Colori Kitchen,16825986,2136225950,0,3,49,4.2,12136225950,%2B12136225950,Kz8ZETLCLPNzzs9Tb4u1SQ,Colori Kitchen,4,1574,$$,0,Italian,ChIJQeJFkLXHwoARzhW_GUAiBio,Colori Kitchen,4.5,34.045103,-118.2565436,2
Coral Tree Cafe,16810471,3109798733,0,1,59,4.1,13109798733,%2B13109798733,EJ7nrwVC0Li9QhQKh2urVw,Coral Tree Cafe,3.5,1081,$$,0,Breakfast & Brunch,ChIJAxCHD6C8woARyGTn5MorDgM,Coral Tree Cafe,4.3,34.0542204,-118.4637912,2
Corner Bakery,16831900,8187109245,0,1,18,3.5,18187109245,%2B18187109245,F0R_flSj-Un6vI4LtAbeOw,Corner Bakery Cafe,3.5,289,$$,0,Sandwiches,ChIJ6d1XZSCcwoARFnu1Bts4n6Q,Corner Bakery Cafe,4.2,34.1816604,-118.6036452,1
Paparazzi Ristorante,16832971,3106424820,0,3,22,3.7,13106424820,%2B13106424820,SKp7JKhyeM46pDy3WFCf6g,Paparazzi Restaurant,4,114,$$$,0,Italian,ChIJVVuk4tS2woAReindWSzWyeM,Costero Bistro,3.8,33.946626,-118.390812,2
Crave Cafe,16833263,8189907888,0,1,40,4.1,18189907888,%2B18189907888,RYEvoIblYo1pq1b14ESrlA,Crave Café,3.5,2563,$$,0,Creperies,ChIJ2ZRJts-XwoARrv0soeCL1RY,Crave Cafe,4.2,34.1507551,-118.4489886,2
Crossroads,16836308,3237829245,0,2,30,4.1,13237829245,%2B13237829245,9xyjvSkidMTngtyZ6-Upaw,Crossroads,4,1850,$$$,0,Vegan,ChIJhZy9Gba-woARQLEEpEN46uw,Crossroads Kitchen,4.5,34.083527,-118.370157,3
Curry Up Cafe,16831342,8183474116,0,1,13,3.6,18183474116,%2B18183474116,r_Z4ROr1asku_Y20LgwbPg,Curry Up Cafe,4,292,$$,pickup,Asian Fusion,ChIJu4Z0OZaewoARhgC9FxLwRd8,Curry Up Cafe,4.7,34.1682047,-118.604319,2
Dan Sung Sa,16810649,2134879100,0,1,10,3.6,12134879100,%2B12134879100,LiOTgwAIorn3tDQz-ZJhaA,Dan Sung Sa,4,792,$$,0,Korean,ChIJAWurkXzHwoARsqR9CmSGJwc,Dan Sung Sa,4.5,34.0637546,-118.2946431,2
Dan's Super Subs,16810653,8182258880,0,1,63,4.3,18182258880,%2B18182258880,RBc6LuMxmu3I88UK2rKYrw,Dan's Super Subs,4.5,1097,$$,0,Sandwiches,ChIJHfU58o-ewoARt51AlofiK-E,Dan's Super Subs Inc,4.8,34.1681081,-118.6160347,1
Delphi Greek,16810820,3104782900,0,3,21,3.7,13104782900,%2B13104782900,0SIgsk8eoMP0txb-hKcK_A,Delphi Greek Restaurant And Bar,3.5,358,$$,0,Greek,ChIJeZ4YGH-7woAR0ZyEb8d5xTs,Delphi Greek Restaurant and Bar,3.7,34.0554863,-118.4420801,2
Dinahs Family Restaurant,16831120,3106450456,0,2,69,4.1,13106450456,%2B13106450456,b-aLCjiF1QT2l7o9Dus2yw,Dinah's Family Restaurant,3,1113,$$,0,Diners,ChIJO4AEE62wwoAR_r0MecnuR3Q,Dinah's Family Restaurant,4.1,33.9802997,-118.394892,2
Dino's Chicken & Burgers,16810938,2133803554,0,1,48,4.2,12133803554,%2B12133803554,iqjA5r6w_bFB2R4hseqhhQ,Dino's Chicken and Burgers,4,1938,$,0,Burgers,ChIJ48QieYbHwoAR0N04AuAHGiU,Dino's Chicken & Burgers,4.5,34.0474468,-118.2939367,1
Divino,16810955,3104720886,0,3,27,4,13104720886,%2B13104720886,IH5OdO9k2bzk6qhuoJ2B8Q,Divino,4,160,$$$,0,Italian,ChIJ129gZbu8woARgViPW-B1fEc,Divino,4.4,34.0641592,-118.4695595,2
Dong Il Jang,16811130,2133835757,0,1,29,4.1,12133835757,%2B12133835757,WC2MLERL2ajYnif6djnvrg,Dong II Jang Restaurant,4,588,$$,restaurant_reservation,Korean,ChIJbX1kVYG4woAR5Qd-FmJQtNE,Dong Il Jang Restaurant,4,34.0579282,-118.3049694,2
BLVD 16,16825737,3104747765,0,3,34,4.1,13104747765,%2B13104747765,vHcg5feaGi_ZyC9xh5UjgQ,BLVD 16,3.5,102,$$,0,American (New),ChIJtREWeoC7woARDg8cazQrGdA,Double Take,3.9,34.0599979,-118.4373483,0
Drago Centro,16830287,2132288998,0,4,96,4.4,12132288998,%2B12132288998,p78nnAZrr2JxVNqggm0JSQ,DRAGO Centro,4,1514,$$$,0,Italian,ChIJPVlRz7PHwoAR-hbreIW_2zM,Drago Centro,4.3,34.0516755,-118.2569652,3
